"Year_Date","area","Total_Sold","Average_Price","Average_Salary","T_Sold_Change","AVG_Price_Change","Salary_Change"
2001,london,162744,159226,35140,,,
2002,london,173993,187396,35739,106.9100,117.6900,101.7000
2003,london,153784,211101,37416,88.3900,112.6500,104.6900
2004,london,163797,228614,39489,106.5100,108.3000,105.5400
2005,london,136836,235329,41707,83.5400,102.9400,105.6200
2006,london,171450,251281,43557,125.3000,106.7800,104.4400
2007,london,165571,287114,45027,96.5700,114.2600,103.3700
2008,london,80921,282959,47116,48.8700,98.5500,104.6400
2009,london,75231,257854,46765,92.9700,91.1300,99.2600
2010,london,91933,284543,46945,122.2000,110.3500,100.3800
2011,london,90041,290551,49831,97.9400,102.1100,106.1500
2012,london,93859,303927,48367,104.2400,104.6000,97.0600
2013,london,111973,329168,47962,119.3000,108.3000,99.1600
2014,london,121949,386124,48263,108.9100,117.3000,100.6300
2015,london,116572,425134,46946,95.5900,110.1000,97.2700
2016,london,104805,467503,47924,89.9100,109.9700,102.0800
2017,london,96040,480247,50285,91.6400,102.7300,104.9300
2018,london,89797,477855,52629,93.5000,99.5000,104.6600
